	English	Proto-form	Under	Type
ikuutaq		iku!uta3	iku!-	base
ila		ila(-)		base
ilaaq		ila(C)a3	ila(-)¹	base
ilacir-		ilacci3-		base
ilag-		il(l)a!-		base
ilar-		il(l)a!-		base
ilair-		ila&i3-	ila(-)¹	base
ilairin		il(l)a!i3un	il(l)a!-	base
ilake-		ilak0-	ila(-)¹	base
ilaliur-		ilali(C)u3-	ila(-)¹	base
ilaliute-		ilali(C)u3-	ila(-)¹	base
ilalke-		ilal3u-		base
ilasqite-		ilal3u-		base
ilalru-		ilal3u-		base
ilanaaraq		ilanna3	ila(-)¹	base
ilangarte-		ila&&a3-	ila(-)¹	base
ilangci-		ila&ci-	ila(-)¹	base
ilaraaraq		ilaq		base
ilgar-		a&il3a3-	a&it-	base
iliq		ili!		base
illug-		i@u!-		base
ilngir-		il&i3-		base
ilquq		il0quq		base
ilu		ilu		base
ilu-		ilu-	ilu	base
ilulngu-		ilul&u-	ilu	base
ilumun		ilumun	ilu	base
ilungaq		ilu&aq	illu3(a3)	base
ilupeq		ilup03(a3)	ilu	base
iluperaq		ilup03(a3)	ilu	base
iluqliq		ilulli3	ilu	base
ilur(aq)		illu3(a3)		base
ilutak		ilutaq	ilu	base
iluteqe-		ilut0q0-	ilu	base
ima		imma		base
imanaq		iman03		base
imange-		iman0!-	ima(3)	base
imaq		ima(3)		base
imaquq		ima3ya!	ima(3)	base
imaryuk		ima3ya!	ima(3)	base
imaryaq		ima3ya!	ima(3)	base
ime-		im0-		base
imeg-		im0!-		base
imegglugte-		im0!@u!-	im0!-	base
imir-		immi3-	ima(3)	base
imlauk		imla(C)u(!)		base
imtuqar-		imtuqa3-		base
imumi		imma		base
imur(yug)-		im9u3-		base
imurpag-		im9u3-		base
imuqite-		im9u3-		base
inar-		i&&a3-		base
ineqsunarqe-		in0qyuna3-	in0q0-	base
inerqur-		in03-		base
ingcur-		i&0t-		base
ingkiq		i&ki3		base
ingleq		i&l03		base
ingleraq		i&l03aq		base
inglu		i&lu		base
inglugtun		i&lu!tun	i&lu	base
inglukiitaq		i&luk(k)ita(C)a3-	i&lu	base
ingqi-		090&qi-		base
ingqiliq		i&qili3	i&qi3	base
ingqiq		i&qi3		base
ingriq		i&3i3		base
ingte-		i&t0-		base
ingulaq		i&ut-¹		base
ingun		i&un	i&0t-	base
inguqaq		i&uqa3	i&0t-	base
ini-		ini-		base
initaq		innita3	ini-	base
inqe-		in0q0-		base
inqutaq		inqun	in0q0-	base
inuguaq		yu!u(C)aq	i&u!	base
ipegcar-		ip0!ca3-	ip0!-	base
ipgiate-		ip!it-	ip0!-	base
ipik		ipi(!)		base
ipug-		ipu!-		base
ipuun		ipu!un	ipu!-	base
iqalluaq		iqa@u!a3	iqa@uk	base
iqalluk		iqa@uk		base
iqa(q)		iqa(3)		base
iqelquq		iq0lquq		base
iqeq		iq0(3)		base
iqertaq		iqa3t0		base
iqlirpak		iqli3		base
iqmig-		iqmi!-		base
iqsak		iqla!		base
iqtu-		iq0-		base
iqu-		iqu-		base
iquk		iqqu3		base
iqute-		iqu(t0)-		base
ira(yug)-		i3a-		base
iraluq		i3aluq		base
ircaquq		i3caqu3		base
ircug-		i3cu!-		base
irelgite-		i3(0)l0!-		base
irir-		i3i3-		base
irleg-		i3(0)l0!-		base
irleke-		i3l0k0-	i3(0)l0!-	base
irliqe-		ci3@03-		base
irnerrluk		i3n03@uk		base
irni-		i3ni-	i3n03	base
irniaq		i3ni-	i3n03	base
irr’i-		i3(a)3i-	i3a-	base
irseg-		i3ya!-¹		base
iru		ni3u		base
iruluq		ni3ulu	ni3u	base
iruver-		ni3uv03-		base
iryagte-		09i3ya!(-)	09i3	base
iryuqe-		a3yuq0-	a3(0)yu-	base
issaluq		isaluq		base
issaluuq		isaluq		base
issengquq		ica-		base
isser-		uci3-		base
issuriq		isu3iq		base
itegmig-		it0!mi!-	it0!	base
itegnaq		it0!na3		base
itek		it0!-		base
iter-		it03-		base
iterneq		it03n0q	it03-	base
it’gaq		it0!a3	it0!	base
itrar-		it03a3-	it03	base
itrute-		it3ut0-	it03-	base
ituk		itu!		base
itume-		it0m0-		base
itute-		itut0-		base
ivalu		ivalu		base
ivar-		iva3-		base
iver-		iv03-		base
ivgar-		iv!a3-		base
ivrar-		iv03-		base
ivrir-		iyuv3i3-		base
ivruciq		iv3uciq	ip03-	base
ivsuk		n0pyuk		base
ivyuk		n0pyuk		base
iyukaq		i&(0)yuka3		base
kaak(a)		kaa(kaa)		base
kacete-		kat0-		base
kagaluq		ka!aluq		base
kagi-		ka!i-		base
kaig-		ka(C)0!-		base
kaiga-		kaya(!)-		base
kaime-		ka!im0-		base
kakangcaq		kaka&ca3		base
kakengcaq		kaka&ca3		base
kakave-		kakav0-		base
kakeggluk		kakki!		base
kakek		kakki!		base
kaki-		kaki-		base
kakiaq		kaki(C)a3	kaki-	base
kakegte-		kake!t0-	kakki!	base
kakilacag-		kakilla-	kaki-	base
kakin		kakkin	kaki-	base
kakingerte-		kaki&03-		base
kakiungqite-		kaki&03-		base
kakivik		kaki9vi!	kaki-	base
kakisvik		kaki9vi!	kaki-	base
kalagaq		kala!aq		base
kaleg-		kal0!-²		base
kalgun		kal0!-²		base
kalikaq		kalikaq		base
kalivneq		kal0vn03	kal0v0(t)-	base
kallagte-		ka@a!-		base
kalluk		katlu!		base
kalngak		kal&a!		base
kalug-		kalukaq		base
kalukaq	(halo)	ka&lu-		base
kalukaq	(feast)	kalukaq		base
kalurrar-		kal0!-¹		base
kal’utaq		kal0!-²		base
kaluutaq		kal0!-²		base
kalvag-		kal0v0(t)-		base
kalve-		kal0v0(t)-		base
kama(yug)-		kama-		base
kamake-		kamak0-	kama-	base
kameksak		kam0!		base
kamguk		kam0!		base
kamilar-		kamilla3-	kam0!	base
kanagaq		kana!		base
kanaknaq		kanakna3		base
kanaknak		kanakna3		base
kanar-		kana3-		base
kanayurnaq		kanayu(3)		base
kaneq		kan03		base
kangciq		ka&ci3		base
kangeq		ka&03		base
kangiq		ka&i3		base
kangiqutaq		ka&i3		base
kangiraq		ka&i3a3	ka&i3	base
kangirci-		ka&i3ci-	ka&i3	base
kangirrluk		ka&i3@u!	ka&i3	base
kangivar-		ka&iva3-	ka&i3	base
kangivarte-		ka&iva3t0(3)-	ka&i3	base
kangquq		ka&quq	ka&03	base
kangtu-		ka&tu-	ka&03	base
kanguq		ka&u3		base
kanruyauciq		kan3uyauciq	kan0q	base
kanuyaq		kannuya3		base
kapciq		kap0ci3		base
kape-		kap0-		base
kapeciq		kap0ci3		base
kapegcug(yug)-		kape!cu!-		base
kapgite-		kap0t-		base
kapia-		kapp0ya-		base
kapun		kappun	kap0-	base
kapur-		kapu3-	kap0-	base
kapute-		kapput0-	kap0-	base
kasme-		kay0m0(t)-		base
kasngu(yug)-		kay&u-		base
kassiyuq		kasiyuq		base
kassug-		katyu!-		base
kassute-		katyu!ut0-	katyu!-	base
kasvun		ka90v0(t)-		base
katag-		kata!-		base
katete-		kat0t-	kat0-	base
katngite-		kat&it0-		base
katur-		katyu3-	kat0-	base
kau-		ka!u-		base
kaug-		ka9u!-		base
kaugpak		ka(C)u!		base
kaugun		ka9(9)u!un	ka9u!-	base
kavcak		kavcak		base
kaviaq		kav(v)i(C)a3	kavi3-	base
kavirte-		kavi3-		base
kavlak		kavla!		base
kavluun		kamlu		base
kavtak		kavcak		base
kayu	(sculpin)	kayu		base
kayu-	(strong)	kayu-		base
kayunge-		kayu&0-	kayu-	base
kecete-		k0cit-		base
keggag-		k0!a!-		base
keggagcete-		k0!9a!-		base
keggan		ki!an		base
keggasek		ki!ay0!		base
kegge-		k0!0-		base
keggeve-		k0!0-		base
keggiarnaq		k0!i(C)a3	k0!0-	base
kegginaq		k0!ina3		base
kegginaquq		k0!inaqu3	k0!ina3	base
kegglaq		k0kla!		base
keggmar-		ke!ma3-	k0!ina3	base
keggmiaq		k0!mi(C)-	k0!ina3	base
keggun		k0!un	k0!0-	base
kegluneq		k0!lun0q		base
kegturyaq		k0!tu3ya3		base
keleg-		k0@0!-		base
kelig-		k0li!-		base
keligaq		k0li!a3	k0li!-	base
keligvak		k0li!va!	k0li!-	base
kellarvik		0kl03vi!	0k0-²	base
kelliq		k0tli3	k0t0-	base
kelu-		k0lu		base
keluk		k0lu!		base
keluknaq		k0luva3-	k0lu	base
keluvar-		k0luva3-	k0lu	base
keluvaq		k0luva3-	k0lu	base
kelve-		k0l(0)v0-		base
kemegnaq		k0ma!naq		base
kemek		k0m0!		base
kemgite-		k0m!it-	k0m0!	base
kemni-		k0mni-		base
kenatagun		k0nata!-	k0n03-	base
kenayuk		k0naayuq		base
kenaayuk		k0naayuq		base
keneq		0k(0)n03	0k0-¹	base
kenerte-		k0n03-		base
kengelqaq		k0nl0		base
kengla		k0nl0		base
keni-		k0ni-		base
kenimig-		k0ni3mi!-	k0ni3	base
kenimike-		k0ni3mi!-	k0ni3	base
keniq		k0ni3		base
kenir-	(point)	t0nni3-		base
kenir-	(cook)	(0)k0ni3-	0k0-¹	base
kenite-		k0nit-	k0ni-	base
kenlu		k0nlu3		base
kennge-		0k(0)n0!-	0k0-¹	base
kente-		t0n0t-		base
kenuraq		0k0nu3aq	0k0-¹	base
kenuur-		t0nu-		base
kep’alek		k0ppa3	k0p0-	base
kepe-		k0p0-		base
kepete-		k0p0t-¹		base
kepnerciq		k0pn03a3ciq		base
kepqe-		k0p0t-²		base
kerar-		0k03a3-		base
ker’aq		0k03a3		base
kesir-		k09i-		base
kessig-		k0t9i!-	k0t0-	base
ketsig-		k0t9i!-	k0t0-	base
kete-		k0t0-		base
ketgaq		k0t0!²		base
ketvar-		k0tva3-		base
keveg-		k0v0!-		base
kevgaluk		k0v!alu!	k0v!a3	base
kevgaq		k0v!a3		base
kevir-		k0vi3-		base
kevkarte-		k0p0ka3-	k0p0-	base
keyir-		k09i-		base
kiak		ki9a!(-)		base
kian		kivan		base
kiarneq		kia3n0q	ki9a3	base
kiarte-		kiya3-		base
kicaq		kica3		base
kii-	(come off as a layer)	ka!a-		base
kii-	(come off as a layer)	k09i-		base
kiiki		ki(i)		base
kiitaq		kiitaq	ka!a-	base
kilgaq		kil!aq		base
kilir-		kili3-		base
kina		ki(na)		base
kiner-		kin03-		base
kingu-		ki&u-		base
kinguk		ki&u!		base
kinguneq		ki&un03	ki&u-	base
kinguqliq		ki&uqliq	ki&u-	base
kingurarte-		ki&u3a3-	ki&u-	base
kingutmurte-		ki&utmu3-	ki&u-	base
kinguvar-		ki&uva3-	ki&u-	base
kingyar-		ki&ya3-		base
kipullegte-		kipu@0!-	kiput-	base
kipute-		kiput-		base
kirciur-		k0!i3-		base
keggirciur-		k0!i3-		base
kirta		k0!i3-		base
kita(k)		ki(i)		base
kit’e-		kit-		base
kitngik	(lowbush cranberry)	kitmi!		base
kitngik	(heel)	kit&i!		base
kitngilquq		kit&ilqu3 	kit&i!	base
kitngu-		kit&u-		base
kitur-		kitu3-		base
kituuga		kitu	ki(na)	base
kiu-		ki(C)u-		base
kiugkenak		kivakna3		base
kiumra-		ki(C)um!a- 	ki(C)u-	base
kiuryaq		ki(C)u3ya3		base
kive-		kiv0-		base
kiyarte-		kiya3-		base
kucir-		kuci3- 	kut0	base
kucuknaq		kucuka3		base
kuc’uq		kuccu3		base
kucuquq		ku9ucci3		base
kui!´t aaniit		kui!0t aaniit 	ku90!	base
kuik		ku90!		base
kuime-		ku(C)im0-		base
kuingiq		kui&iq		base
kukegte-		kuk0!-		base
kukikcak		kuki!		base
kukkuq		kuk(k)u(3)(-)		base
kuksaga-		kuk9a!-		base
kuksug-		kuk9a!-		base
kukukuaq		kukuku(C)a3		base
kukumyarar(ar)-		kukumya3-		base
kukupak		kuku!		base
kukusvak		kukiyvak		base
kukisvak		kukiyvak		base
kuma-		0kuma-		base
kumak		kuma!		base
kumakir-		kumaki3- 	kuma!	base
kumarte-		0kuma-	0k0-¹	base
kumeg-		kum0!-		base
kumkaili-		kumka(C)i3- 	kumka3	base
kumkailin		kumka(C)i3- 	kumka3	base
kumkar-		kumka3-		base
kumla-		kumla-		base
kumluq		kumlu		base
kunnaq		kunna3		base
kuta		kut0		base
kuucnaq		ku9uccin03 	ku9ucci3	base
kuugaq		kuk0!		base
kuugte-		ku(C)u(!)-		base
kuukuq		kuk(k)u(3)(-)		base
kuve-		kuv0-		base
kuvyaq		kuv9a3		base
kuya(k)		kuya!		base
kuyag-		kuya!-		base
kuyapegaq		kuyap0!a3 	kuya!	base
lagiq		la!iq		base
laqar-		al0mqa3-		base
leg-		0@0!-		base
leq		n0@03(-)		base
leqleq		neqleq		base
maaten		ma90t0n		base
macaq		maca3		base
makete-		mak0t-		base
makira-		maki3-		base
makiur-		maki3-		base
maklak		makla!		base
maksaq		maksaq		base
makta-		mak0ta- 	mak0t-	base
makugte-		mak0-		base
malig-		mali!-		base
malike-		mali!-		base
maligcuar-		mali!cua3-	mali!-	base
maligqe-		mali3q0-	mali!-	base
malirqe-		mali3q0-	mali!-	base
maligte-		mali!-		base
malirqar-		mali3q0-	mali!-	base
malleg-		ma@0!-		base
mamcaq		mallu(k)		base
mamcar-		mamca3-	mam0-	base
mame-		mam0-		base
mamlek		mam0l0!		base
mamte-		mam0t-	mam0-	base
mamteraq		mamt03a3		base
mamtu-		mamtu- 	mam0-	base
malri		mal3i		base
malruk		mal3u!		base
manaq		mana3		base
maneq		man03		base
mangag-		ma&a!(-)		base
mangarniiq		ma&aq		base
mangayaaq		ma&aq		base
mangelpag-		man0!-		base
mangengtak		ma&ta!		base
mangirre-		ma&i3-		base
mangtak		ma&ta!		base
mangyuarir-		man0!yu(C)a3-	man0!-	base
mangyaur(ar)-		man0!yu(C)a3-	man0!-	base
mani-		mani-		base
maniar-		mania3- 	mani-	base
manig-		mani!-		base
manik		manni!		base
manu-		manu		base
manuilitaq		manu&ilita3	manu	base
mangarniiq		ma&a3niiq		base
maqaq		maqaq		base
maqe-		maq0-		base
maqete-		maq0t- 	maq0-	base
maquluk		maquluk 	maqu-	base
maqulluk		maquluk 	maqu-	base
maraq		ma33a3		base
marrlugaq		0ma		base
maruara-		ma3u-²		base
martu-		ma3tu-		base
markite-		ma3tu-		base
maryarte-		ma3ya3-		base
masi-		pasi-		base
matar-		matta3-		base
matneq		matn0q		base
matngagte-		mat&a-		base
matngite-		mat&a-		base
maurluq		0ma		base
mayiteqe-		mayit0q0-		base
mayur-		mayu3-		base
mayura-		mayu3a(3)-	mayu3-	base
mayuryaraq		mayuqqaq	mayu3-	base
mecak		m0ca!		base
mecaliqaq		m0caliqaq	m0ca!-	base
mecarte-		m0ca3-		base
meceg-		m0c0!		base
meciaq		m0ci3a3	mecu(!)-	base
mecig-		m0ci!-		base
mecir(ar)-		m0ci3a3-		base
mecuq		mecu(!)-		base
mege-		m0!0-		base
megtaq		0v0!ta3		base
melek		m0l0!(-)		base
mellar-		m0@a3-		base
mellaq		m0@a3-		base
mellgar(aq)		m0tl0!		base
melnguq		m0l&u3		base
melquq		m0lqu3		base
melu-		m0lu-		base
melug-		m0lu!-		base
melugyar(aq)		m0lu!ya3 	m0lu!-	base
menge-		0m0&0(3)-	m0lu!-	base
mengla		mi&l0		base
mengqurpak		m0&quq	m0lu!-	base
mente-		m0n0t-		base
meq		0m03(-)		base
meqcir-		m0q0ci3-	m0qe-	base
meqe-		m0q0-		base
meqsartur-		meqsa3tu3-	0m03(-)	base
meqsug-		0meqyu!-	0m03(-)	base
merig-		m03i!-		base
mernuir-		m03nu3i3-	m03nu3-	base
mernur-		m03nu3-		base
mertar-		0m03ta3- 	0m03(-)	base
mer’un		0m(0)3un	0m03(-)	base
meryak		m03ya!	0m03(-)	base
metervik		m0t03vik	m0t03	base
metqe-		m0ta!-		base
metraq		m0t03		base
mianike-		mi(C)ani(k0)-		base
migpak		0m0!-		base
migtu-		0m0		base
miicir-		0mmit-		base
miite-		0mmit-		base
mike-		mik0-		base
mikete-		mik0-		base
mikli-		mik0li-	mik0-	base
miluqu-		milu3-		base
mimeq		mim03		base
mimernaq		mim03naq	mim03	base
minaq		mina3-		base
mineg-		min0!-¹		base
minek		min0!-²		base
mingqe-		mi&q0-		base
mingqun		mi&qun	mi&q0-	base
mingug-		mi&u!-		base
minuk		min0!-²		base
miryaq		mi3ya3(-)		base
miryar-		mi3ya3(-)		base
mistu-		m0ci!-		base
miskite-		m0ci!-		base
mit’e-		mit-		base
mulngaite-		mul&a-		base
mulngake-		mul&a-		base
mulu-		mulu-		base
mumeq		mum03(-)		base
mumig-		mumi!-		base
munar-		muna3-		base
munarciaq		una3ci3-		base
murqe-		mu3q0-		base
muru-		ma3u-¹		base
murugte-		mu39u!-		base
muute-		0m0t-		base
na(ni)		na-²		base
naa-		na9a-		base
naacuqe-		naacuq0-	na9a-	base
naama-		na9ama-	na9a-	base
naami		na(C)umi		base
naaneq		na(C)aneq 	na9a-	base
naanguar-		0na-		base
naaqe-		na9aq0-	na9a-	base
naate-		na9at-	na9a-	base
nacallngaq 		naca@&aq	naca3	base
nacallngaar(aq)		naca@&aq	naca3	base
nacaq		naca3		base
nacaullek		naca(C)u@0k	naca3	base
nacete-		nacit-		base
nacig-		naci!-		base
nacin		naccin	nat03	base
nagaayuq		na!aayuq		base
nagiquyaq		na!iquyaq		base
nagte-		na!0t-		base
nagtuqaq		na!tuqa3	na!0t-	base
naive-		na(C)0v0(t)-		base
nakaaq		naka3		base
nakaar-		nakka3-		base
nakacugnaq		nakacu!na3	nakacu!	base
nakacuk		nakacu!		base
naker-		nak03-		base
nakleke-		na&@0!-		base
nakmiin		na@mi(n03)		base
nakriate-		nak(0)3it-	nak03-	base
naku-		naku(3)-		base
nala-		nala-		base
nalaqe-		nataq0-		base
naleq		n0@03		base
nali(q)		nalli3	na-²	base
nalirrugte-		nalli3	na-²	base
nalke-		nalk0-	na@0-	base
nalkiik		na@0kka!		base
nall’arte-		na@a3-	na@0-	base
nalle-		na@0-		base
nallu-		na@u-		base
nallunailkutaq		na@una3ilkuta3	na@u-	base
nallunair-		na@una3i3-	na@u-	base
nalluyagute-		na@uya!ut0-	na@u-	base
nalqigte-		nalqi!-	na@0-	base
naluaq		nalu(C)a3		base
nalug-	(throw in air)	nallu!-		base
nalug-	(swim of animal)	nalu!-		base
naneq		n0n0q		base
naner-		nan03-		base
nanerpak		nan03pa!(-)	n0n0q	base
naneryaq		nan03ya3	nan03-	base
nangcar-		na&ca3-		base
nange-		na&0-		base
nanger-		na&03-		base
nangete-		na&0t-	na&0-	base
nangquq		na&qu3		base
nangru(yug)-		na&3u(3)-		base
nangteqe-		na&t03-	na&0-	base
nangugte-		na&$u!-		base
nangyar(yug)-		na&ya3-		base
nanikua-		nani-²		base
nanilliur-		nani-²		base
nanilraq		nanil3aq	nani3	base
naniq		nani3		base
nanite-		nanit-		base
nanrar-		nan3a3-		base
nanuaq		nanu3		base
nanvaq		nanva3		base
napa		napa-		base
napa-		napa-		base
napartaq		nappa3ta3	napa-	base
naparte-		nappa3-	napa-	base
naparutaq		nappaquta3	napa-	base
napataq		napata3-	napa-	base
napatar-		napata3-	napa-	base
napayuq		napa9u3	napa-	base
napete-		nap03-		base
napu		napu		base
naqa		naq9a3		base
naqir-		naq0t-		base
narcig-		na3ci!-		base
nare-		na30-		base
narite-		na3ci!-		base
narug-		na39u!-		base
narulkaq		na3u@0ka3	na3u@0!-	base
narulleg-		na3u@0!-		base
narullgute-		na3u@!ut0-		base
narulkute-		na3u@!ut0-		base
naruyaq		na3uya3		base
naryar-		na3(0)ya3	na30-	base
nas’ak		naya!		base
naspertur-		nay(0)p03tu3-	nay(0)p0t-	base
naspete-		nay(0)p0t-		base
nasqul&u-		nay(0)qul&u-	nay(0)qu3	base
nasquq		nay(0)qu3		base
nataqe-		nataq0-		base
nate-		nat0-	na-²	base
nateq		nat03		base
naternaq		nat03(a3)na3	nat03	base
natquigte-		nat0quvi!-	nat03	base
natquvigte-		nat0quvi!-	nat03	base
natquik		nat0quvi!-	nat03	base
natraq		nat03a3	nat03	base
nau-		na!u-		base
naucetaaq		na!u-		base
naucir-		na!ucci3-	na!u-	base
naumi		na(C)umi		base
naunraq		na!un3aq	na!u-	base
nauwa		na!u		base
navcuite-		navcu		base
naveg-		nav0!-		base
navgi-		nav(0)!i-	nav0!-	base
navgur-		nav!u3-	nav0!-	base
nayagaq		naya!		base
nayangar-		naya&a3-		base
nayiq		nayyi3		base
nayug-		nayu!-		base
nayur-		nayu3-		base
negaiq		n0!a3		base
negair(aq)		n0!a3		base
negaq		n0!a3		base
negcik		n0!ci!		base
negeq		n0!03		base
negiliq		n0!ila3		base
negituqar-		n0!ituqa3-		base
negte-		t0n0!-		base
negur-		n0!u3-		base
neguyaq		n0!uya3		base
neka(yug)-		n0ka-		base
nek(e)ve-		n0k0v0(t)-		base
nekevraartuq		n0k0v3aa3tuq	n0k0v0(t)-	base
kevraartuq		n0k0v3aa3tuq	n0k0v0(t)-	base
nekva-		n0k0v3a-	n0k0v0(t)-	base
nekvayar-		n0kva3-	n0k0v0(t)-	base
nel’a		k0nl0		base
neleq		n0@03-		base
neliaq		0nli(C)a3		base
nelnguq		n0l&u(3)-		base
nemeq		n0m03(-)		base
nemeryaq		n0m03ya3	n0m03(-)	base
neneq		n0n0q		base
nengar-		n0&(&)a3-		base
nengauk		n0&a(C)u!		base
nenge-		n0&0-		base
nengiq		n0&i3		base
nengla		n0&0(t)-		base
nenglar-		0&la3-		base
nenglla		n0&0(t)-		base
nenglli-		n0&0(t)-		base
nengllir-		n0&@03-	n0&0(t)-	base
nengsuq		n0&yu3		base
nengugte-		n0&u!-	n0&0-	base
nengulraq		n0&ul03-	n0&0-	base
nengulra-		n0&ul03-	n0&0-	base
nepa		n0p0		base
nepaite-		n0p´&it-	n0p0	base
neplir-		n0pli3-	n0p0	base
nepsenarqe-		n0p0tya(3)-	n0p0t-	base
nep(e)te-		n0p0t-		base
neqa		n0q0		base
neq’ake-		0nqa(3)-		base
neq’ar-		0nqa(3)-		base
neqcaq		ne3ca3		base
neqleq		n03l03		base
neqliur-		n0qli(C)u3-	n0q0	base
nequtu-		n0qu-		base
nere-		n030-		base
neresta		n030sta	n030-	base
neresvik		n0309vi!	n030-	base
nerevkar-		n030vka3-	n030-	base
nerilkar-		n03il0!-		base
nerqe-		n03q0-	n030-	base
neruvailitaq		t03u		base
neruver-		n03uv03-		base
neryar-		n03ya3-	n030-	base
nerliyar-		n03ya3-	n030-	base
neryuniur-		n03yu(!)-		base
neve-		n0v0-		base
never-		n0v03-		base
neviarcaq		n0vi(C)a3		base
nevirte-		n0(C)u3-		base
nevkuq		n0vku		base
nevluk		n0v0lu!	n0v0-	base
nevuq		n0v9u3		base
ngel’a		k0nl0		base
ngel’ar-		0&la3-		base
ngel’u		0&lu		base
nel’u		0&lu		base
ngillar-		ni(i)@a3-		base
niicugni-		na!acu!ni-	na!a(t)-	base
niig-		0&i!-		base
niite-		na!a(t)-		base
nillaq		ni(i)@a3-		base
nillar-		ni(i)@a3-		base
ninite-		nuna&it0-	nuna	base
nipe-		n0p0-		base
nirar-		ni3a3-		base
niugte-		n0pu!-	n0p0	base
nivuk		n0pu!-	n0p0	base
nuak		nuva!		base
nucug-		nuccu!-		base
nuge-		nu!0-		base
nugtarte-		nu!0t-		base
nugyaraq		nu!ya3aq	nu!0-	base
nuik		nu!i3		base
nuiq		nu!i3		base
nukalpiaq		nukalpi!a3		base
nukaq		nuka3		base
nukar(aq)		nuka3a3	nuka3	base
nuki-		nuk0!		base
nuleg-		nul0!-		base
nulgair-		nul!a3i3-		base
nuliaq		nuli3(a3)		base
nuliarir-		nulia3(a3)i3-	nuli3(a3)	base
nulirrir-		nulia3(a3)i3-	nuli3(a3)	base
nulirqellriik		nuli(3)aq0l3iik	nuli3(a3)	base
nulirrniar-		nuli3(a3)nia3-	nuli3(a3)	base
nulirtur-		nuli3(a3)tu3-	nuli3(a3)	base
nullu		nu@u(3)		base
nulte-		nulqa3-		base
nulur(ar)-		nulu3(a3)-		base
nuna		nuna		base
nunallite-		nunalit-	nuna	base
nunaniq		nunanni3-	nuna	base
nunate-		nunat0-	nuna	base
nungirte-		nu&i3t0-		base
nungirta		nu&i3t0-		base
nungute-		nunu(3)-		base
nuni-		nunni-	nuna	base
nunite-		nuna&it0-	nuna	base
nuniate-		nuna&it0-	nuna	base
nunur-		nunu3-		base
nuqaq		nuq9a3		base
nuq(e)te-		nuq0t-		base
nuraq		nu33a3		base
nurr’aq		nu3a3(a3)		base
nurte-		0nu3-		base
nutaan		nutaan	nuta3a3-	base
nutaraq		nuta3a3	nuta3-	base
nuteg-		nut0!-		base
nutem		nut0m		base
nutngar-		nut&a3-		base
nuuk		nuvu!		base
nuuniq		nuuniq		base
nuvak		nuva!		base
nuve-		nuv0-		base
nuvuk		nuvu!		base
nuyaq		nuya3		base
nuyuite-		nuyu!it-	nuyu!-	base
nuyurrite-		nuyu!it-	nuyu!-	base
nuyurtar-		nuyu!-		base
paallag-		pa&a@@a!-		base
paame-		pa(C)um0(t)-		base
paanger-		pa&03-		base
paangrun		pa&03un	pa&03-	base
pacete-		pat0t-		base
paci(ke)-		paci-		base
pacik		maci!		base
pacnaq		pac0t0-		base
pagaq		0pa!		base
pai		pa90-		base
pai-		pa!i-		base
pair-		0ppai3-		base
pairsaag-		pa903ca3-	pa903-	base
pairte-		pa903-		base
paitaq		pa!it0-	pa!i-	base
paivte-		pa(C)0vt0-		base
pakegte-		pak0!-		base
pakig-		paki!-		base
pakiur-		paki(!)u3-	paki!-	base
pakluk		pavlu		base
palar-		pala3-		base
palirte-		pali3-		base
pall’itaq		patlita3		base
palu-		palu-		base
palur-		pallu3-		base
palurtaq		palu3ta3		base
pama-		pama-		base
pamesquq		pamyu3		base
pamyuq		pamyu3		base
panaq		pana		base
pangaleg-		pa&al0!-		base
pangquussiig-		paq0t-		base
panik		pani!		base
pap’a		ap(p)a²		base
papsalquq		pap0!		base
papsi-		pap9i-		base
papsike-		pap9i-		base
paq(e)te-		paq0t-		base
paqna(yug)-		paqna-		base
paqrite-		paq3it0-		base
paquussiig-		paq0t-		base
paquussaag-		paq0t-		base
partak		pa3t0(3)		base
parteraq		pa3t03a3	pa3t0	base
paruq		pa3uq		base
pasi-		pasi-		base
patag-		patta!-		base
pateg-		pat0!-		base
pateq		pat03		base
patqar-		patqa3-		base
patsaqar-		pac0t0-		base
patu		matu(-)		base
patuggluk		patu!		base
patuir-		matu&i3-		base
paug-		pa!u!-		base
paulaq		pa!u(la)		base
paume-		pa(C)um0(t)-		base
paunraq		pa!un3a3		base
pavig-		pavi!-		base
payiq		pa(C)i3		base
pay’u-		pay(y)a(!)-		base
payugte-		payu!-		base
peggar-		p0!0!a3-		base
pegnem		p0!n0m		base
pegte-		0p0!-		base
peke-		p0k0-		base
pekara-		p0k0-		base
pekete-		p0k0t-	p0k0-	base
peksallag-		p0kya!-	p0k0-	base
peksuq		p0kyu		base
pekutaq		p0kutaq		base
pel’i-		p0llicci-		base
pella-		0pla-		base
peller(yug)-		0pl03-		base
pellug-		p0tlu!-²		base
pellukutaq		p0@u		base
pellumrun		p0@u!-		base
peluq		p0lu(3)		base
penaiq		0pna3i3	0pna3-	base
penaq		0pna3-		base
penge-		p0t!03-		base
pengeg(yug)-		p0&0!-		base
pengraliq		p03&aliq	p030-	base
penguq		p0&u3		base
peqlirte-		p0qli3-		base
pequq		p0ku(!)		base
pere-		p030-		base
perrir-		0p3i3-		base
perr’ite-		0p3i3-		base
perrleqciir(ar)-		p03@00		base
perte-		p030t-	p030-	base
petengtaq		m0t0&taq		base
petengte-		m0t0&@0(3)-		base
petgar-		p0t!03-		base
petgeq		p0t!03-		base
pet’ngallaq		m0t0&taq		base
