	English	Proto-form	Under	Type
anerteqe-		an03t0q0-	an03-	base
aneryaar-		an03ya(C)a3-	an03-	base
angak		a&a!		base
angala-		a&ala-	a&a3-	base
angalaci-		a&alat-	a&ala-	base
angalkuq		a&alku3		base
angaqe-		a&aq0-		base
ang’aqe-		a&a(3)-		base
an’garaq		an(0)!a3(a3)		base
angayite-		a&a3-		base
angayuk		a&ayu!		base
angayukliq		a&ayukli3	a&ayu!	base
angayuqaq		a&ayuq(q)a3	a&ayu!	base
ange-		a&0-		base
angenquq		a&0nquq	a&0-	base
angeq		a&eq		base
angernak		ay0&0		base
angeryuk		ay0&0		base
anger-		a&03-		base
angi-		a&i-		base
angimurte-		a&it-		base
an’gir-		an0!i3-	an0-	base
anglanarqe-		a&la-		base
anglani-		a&la-		base
angli-		a&(0)li-	a&0-	base
anglicar-		a&(0)li-	a&0-	base
anglluaq		anlu(C)a3	anlu	base
angnir-		a&ni3-		base
angniq		a&ni3-		base
angpar-		a&va3-	a&va-	base
angqaq		a&qaq		base
angqute-		a&qut0-		base
angtuaq		a&tu3(a3)	a&0-	base
angu-		a&u-		base
anguar-		a&u9a3-		base
anguarun		a&u9a3un	a&u9a3-	base
angucaluq		a&ucallu3	a&un	base
angukaq		a&ukaq		base
angukaraq		a&uka3aq	a&un	base
angula-		a&ula-		base
angulate-		a&alat-	a&ala-	base
angun		a&un		base
angutnguneq		a&ut&un03	a&un	base
anguur-		a&u9u3-		base
anguyak		a&uya!		base
a&uyu-		a&uyu(3)-	a&u-	base
angyaq		a&yaq		base
angyarrluk		a&yaq		base
aniguyaq		ani!utya3	ani!u	base
aninguaq		ani&uaq		base
aninqe-		aninq0-		base
anipa(q)		anipa		base
anirta		ani3ta		base
aniu		ani!u		base
anlleq		an@0q		base
anlu		anlu		base
anluaq		anlu(C)a3	anlu	base
anngaq		an0&a3		base
anrutaq		an(0)3uta3		base
ante-		an0t-	an0-	base
anu(k)		anu		base
anucimirqe-		anucimi3-	annut-	base
anucinge-		annut-		base
anuqa		anuq0-		base
anuqlir-		anuqli3-	anuq0-	base
anuraqe-		anu3aq0-		base
anvik		ann0vi!	an0-	base
apa(q)		ap(p)a¹		base
apalluk		apa@uk		base
apamaq		apumma3		base
apa’urluq		apa3u3luq	ap(p)a¹	base
aper-		ap03-		base
apete-		ap0t(0)-		base
apnge-		ap0&0-		base
appa		ap(p)a¹		base
apqaur-		ap0qa3-	ap0t(0)-	base
apqara-		ap0qa3-	ap0t(0)-	base
aprun		ap3un		base
apsuq		apyu3		base
apun		apun	ap0-	base
apur-		apu3-		base
aqatak		aqaya!-		base
aqavsik		aq0v9i!		base
aqe-		aq0-		base
aqelqaq		aq0lqaq		base
aqesgiq		aq09!i3		base
aqesngaar-		aq0st0-		base
aqeste-		aq0st0-		base
aqevla-		aq0vl03-		base
aqevlerte-		aq0vl03-		base
aqevyik		aq0v9i!		base
aqilrurte-		aqil3u3	aqit-	base
aqiturte-		aqitu3-	aqit-	base
aqlarnir-		aqla-		base
aqlate-		aqla-		base
aqsamuq		aqyamu!	aq(0)ya3	base
aqu		aqu		base
aqui-		aqu(C)i-		base
aqume-		aqum0-		base
akumkallag-		aqumka@a!-	aqum0-	base
aqumga-		aqum!a-	aqum0-	base
aqumlleq		aqum@0q	aqum0-	base
aquq		qaqu(3)		base
aqutaq		aqu(3u)n	aqu	base
