Akuzipik	English	Proto-form	Under	Type
amla		am0l0		base
amllugh-		am@u3-		base
amqeghte-		al0mqa3-		base
amu-		amu-		base
amyak		amyak		base
anaana		ana(a)na		base
anaavak		ana(C)uva!		base
anag-		anna!-		base
angayuqaq		a&ayuqa3	a&ayu!	base
angegh-		a&03-	a(a)&	base
anghungite-		an(0)3uta3		base
angi-		a&i-		base
angiqe-		a&i-		base
angigh-		an0!i3-	an0-	base
angiite-		a&it-		base
angite-		a&i-		base
anglaaq		anlu(C)a3	anlu	base
anglanagh-		a&la-		base
angli-		a& (0)li-	an0-	base
anglisagh-		a&lica3-	a&0-	base
anglu		anlu		base
angqigh-		at&i3-		base
angtaaq		a&tu3(a3)	an0-	base
angu-		a&u-		base
angukaq		a&ukaq		base
angumaasqitaghte-		a&uma-	a&u-	base
anguugh-		a&u9u3-		base
anguyu-		a&uyu(3)-	a&u-	base
angvalluqegtaq		a&valu3-	a&va-	base
angvaneq		a&van0q	a&va-	base
angwaagh-		a&u9a3-		base
angwaaghun		a&u9a3un	a&u9a3-	base
angyaq		a&yaq		base
angyagh-		a&yaq		base
angyii-		a!yu3-		base
anighta		ani3ta		base
anigu		ani!u		base
aningwaaq		ani&uaq		base
anipa		annu3aq0-		base
anughaqe-		anipa		base
anuqa		anuq0		base
anuqligh-		anuqli3-	anuq0	base
anusigaa-		annut-		base
anusiyaa-		annut-		base
anusimighte-		anucimi3-	annut-	base
anusimingllagh-		anucimi3-	annut-	base
apa		ap(p)a¹		base
apagh-		apa3-		base
apalluq		apa@uk		base
apegh-		ap03-		base
apeghtugh-		ap03-		base
apenghaan		ap0-		base
apengqe-		ap0&0-		base
apengte-		ap0&0-		base
apetaq		ap03-		base
apumek		apun	ap0-	base
aqara		aqaya!		base
aqavzik		aq0v9i!		base
aqelqaq		aq0lqaq		base
aqelqaghte-		aq0lqaq		base
aqergiiq		aq09!i3		base
aqesgiigh-		aq0st0-		base
aqevleghaq		aq0vl03-		base
aqfagh-		aqva-		base
aqfaate-		aqva-		base
aqfaqugh-		aqvaqu3-	aqva-	base
aqnigh-		at&i3-		base
aqnighte-		at&i3-		base
aqii-		aqu(C)i-		base
aqlagh-		aqla-		base
aqlagha		aqla-		base
aqniqe-		at&iq0-	at&i3-	base
aqsa		aq(0)ya3		base
aqsamuk		aqyamu!	aq(0)ya3	base
aqsaquq		aq(0)yaqu3	aq(0)ya3	base
aqume-		aqum0-		base
aqumga-		aqum!a-	aqum0-	base
aquutaq		aqut-	aqu	base
aquutagh-		aqut-	aqu	base
aragh-		a9(9)a(a)		base
asak		acca!		base
asi-		aci¹		base
asiiq		aci¹		base
asitmun		at(0)-		base
asivagh-		aciva3-	aci¹	base
asivaq		aciva3-	aci¹	base
asunan		acu		base
asunaq		acu		base
asute-		acu-		base
ata		ata¹		base
ataasiq		ata3uci3		base
ataata		ata(a)ta		base
atakaghqaq		atakaq	ata¹	base
atalgun		atal!un	ata¹	base
ataneq		atan03	ata-	base
ategh-		at03-	at(0)-	base
ateghte-		at03t0-	at(0)-	base
ateq		at03		base
atghagh-		at3a3-	at(0)-	base
atghilek		at(0)qil&uq	at03	base
atigh-		acci3-	at03	base
atightugh-		acci3-	at03	base
atiiqe-		acci3ut0-	at03	base
atkuk		at0ku!		base
atkug-		at0ku!		base
atngaghun		at&a3un	al&ar(-)	base
atungak		atu&a3		base
atugh-		atu3-		base
atunem		atun0m		base
atungaq		atu&a3		base
atuq		atu3-		base
atuun		atu(3)un	atu3-	base
ava		av9a3¹		base
avaagh-		ava-		base
avaqutaq		avaqutaq		base
avayaq		avayaq		base
aveg-		av0!-		base
avek		av0!-		base
avguq		av(0)!uq		base
aviigh-		av(v)a3i3-		base
aviite-		ava&it0-		base
avlegh-		avl03-		base
avleqaghtaq		avl0qa3taq	avl03-	base
avugh-		avu3-		base
avun		avun		base
avutke-		avun		base
awaliq		aval(l)i3	avan	base
awata		avan		base
awataghpak		avata3		base
awatiigh-		avat0&i3-	avan	base
awisu		a(a)miyu(u)		base
awite-		a!wit0-		base
awiqe-		a!wit0-		base
ay		ay		base
ayaa		aya(C)u-		base
ayagun		aya!un	aya!-	base
ayallaghaaq		a@ayaq		base
ayaniqe-		ayani(3)-		base
ayapegh-		ayap03-	aya!-	base
ayapghun		ayap3un	aya!-	base
ayaq		aya!-		base
ayaqe-		aya!-		base
ayaviiq		aya3u3	aya!-	base
ayeme-		ay0m0-		base
ayemqe-		ay0m0-		base
ayghiyugniqe-		a!$i(3)-		base
ayghigh-		ayu3i3-		base
aygugh-		a9!u3-		base
ayguq		a9!u3-		base
aygughike-		a9!u3a-	a9!u3-	base
ayu-		ayu-		base
ayugigh-		ayu!-		base
ayugite-		ayu!-		base
ayumiq		ayumiq		base
ayuqe-		ayuq0-		base
ayuqliq		ayuq0-		base
ayva-		ayva-		base
ayveq		ayv03		base
aywa-		a9!u3-		base
azi-		ayi-		base
azigutaq		ani!utya3		base
eflegh(yug)-		0pl03-		base
eflugh-		t0lv0-	t0la!-	base
uflugh-		t0lv0-	t0la!-	base
efsug-		0vcu!-		base
efteq		0vt03		base
eftuq		0!tu!		base
ege-		0!0-		base
egge-		k0!0-		base
eggmiiq		k0!mi(C)-	k0!0-	base
eghneq		03n0q	030-²	base
eghqaaq		qaq9a3		base
eghqaataqe-		0!qa3-	0!0t-	base
eghte- 	repeat	03ut0-	030-²	base
eghte- 	dawn	030-²		base
egkuq		0!kuq		base
eglluk		k0klu(!)		base
egmigh-		0!mi3-		base
egnaangite-		030ni(3)-		base
egtaq		0!ta3		base
egte-		0!0t-		base
egtug(yug)-		0!tu!-		base
egtughyaq		k0!tu3ya3		base
ellmaaghaghhaq		0@ma3(a3)		base
ellmi-		0@mi-		base
ellnga		0@(0)&a		base
ellngagh-		0@&a3-		base
elpek		0lp0t		base
elpeke-		0lp0k0-		base
elqiiq		t0lqi(C)a3		base
elquaq		q0lqu9a3		base
elqughaghte-		0lqu3-		base
elte-		n0l0t-	n0l03	base
eltugh-		tat(0)tu3-	tat0-	base
eltughaq		0ltu3		base
epe-		0p0-		base
epeqaq		0p0qa3		base
esghagh-		0s!a3(a3)-	090	base
esghapag-		0s(!a)3apa!-	090	base
esla		cila		base
eslalluk		cila@u!	cila	base
eslallugugh-		cila@u!	cila	base
eslate-		cilan	cila	base
eslege- 	be stout, thick	cil0!-¹		base
esleqe-	be full	cil0!-²		base
eslequq		cil(0)qu3		base
eslevak		ci@uva!		base
eslugh-		cilu3-		base
esna(q)		cin0		base
esne-		cin0		base
esneghaq		cin03a3	cin0	base
esnek		cin0k		base
esnighte-		cini3-	cin0	base
estaaghagh-		citu3a3-	citu-	base
estamat		citamat		base
esteqe-		cit0(!)-		base
esteqaq		cit0(!)-		base
estu-		citu-		base
estugh-		cittu3-		base
estuk		cituk		base
evelegtagh-		0v0(3)l0!-		base
evleq		q0vl03-		base
evluk		i& (0)yul0!		base
gaaghaq		0!a(C)a3	0!a-	base
gaaghusiq		0!!an	0!a-	base
geve-		0!0-		base
ggaak		k0!9a!-		base
ggata		ki!an		base
ggayek		ki!ay0!		base
ggiighsi-		k0!i3-		base
ggiiste-		k0!0-		base
gginaq		k0!ina3		base
gginaqwaaq		k0!inaqu3	k0!ina3	base
gguta		k0!un	k0!0-	base
gheve-		030-¹		base
ghhatagh-		q03a3-		base
ghhatagh-		q03ata3-		base
ghhiitagh-		03ita3-	03i-	base
ghhuu-		qi3u-		base
ghhuute-		qi3u-		base
ghhuugh-		q03u3-		base
ghhuuq		qa39u3		base
ghhwuta		qu30-	qu30-	base
ghhuta		qu30-	qu30-	base
giimaq		0!ima3		base
guute-		0!ut-		base
ifkagh-		090vka3-		base
ifla-		0pla-		base
igamsiqa-		i!a-		base
igaq		i!aq		base
igarutaaq		ni!09u3un	ni!09u3-	base
igarutaagh-		ni!09u3-		base
igatagh-		i!ata3-		base
iggag-		i!0!a3-		base
iggasighte-		i!0!a3-		base
igha(yug)-		i3a-		base
ighaleqetaaq		i3al0q0taq	i3aluq	base
ighaluqaq		i3aluq		base
ighanaq		i3a-		base
ighigh-		i3i3-		base
ighlegtu-		i3(0)l0!-		base
ighleke-		i3l0k0-	i3(0)l0!-	base
ighneghaq		i3n03@uk		base
ighneghlluk		i3n03@uk		base
ighneq		i3n03		base
ighni-		i3ni-	i3n03	base
ighsa-		0q(0)ya-		base
ighsake-		0q(0)yak0-	0q(0)ya-	base
ighsaquq		i3caqu3		base
ightugh-		i3tu3-		base
ighu		ni3u		base
ighyagte-		09i3ya!	0di3	base
iglagiisiq		il(l)a!i3un		base
iglagute-		il(l)a!-		base
iglak		i!lak	i!0-	base
igleghte-		0!l03-		base
igleghte-		0!il03-		base
igu-		ni!u-		base
igugh-		i!$u3-		base
igughte-		i!9u3-		base
iguk		i!9u!		base
ii-i		i(i)²		base
iigh-		i903-		base
